"Measurement" "Mean" "Subject" "Activity"
"tBodyAccJerk.arCoeff...Y.1" -0.257789382084416 1 "WALKING"
"tBodyAccJerk.arCoeff...Y.2" 0.251997515191104 1 "WALKING"
"tBodyAccJerk.arCoeff...Y.3" 0.150346868057792 1 "WALKING"
"tBodyAccJerk.correlation...Y.Z" 0.388643452123377 1 "WALKING"
"tBodyGyro.mean...X" -0.0461199004111688 1 "WALKING"
"tBodyGyro.mean...Y" -0.061372792598052 1 "WALKING"
"tGravityAcc.arCoeff...X.4" 0.560948326103896 1 "WALKING"
"tGravityAcc.arCoeff...Y.1" 0.0428013085116883 1 "WALKING"
"tGravityAcc.arCoeff...Y.2" -0.0040732853 1 "WALKING"
"tGravityAcc.correlation...X.Z" -0.117172120057143 1 "WALKING"
"tGravityAcc.correlation...Y.Z" 0.148292197737662 1 "WALKING"
"tBodyAccJerk.mean...X" 0.0693547485262987 1 "WALKING"
"tBodyGyroJerk.correlation...Y.Z" -0.133570850234351 1 "WALKING"
"tBodyAccMag.mean.." -0.19575525846039 1 "WALKING"
"tBodyAccMag.std.." -0.297406021590909 1 "WALKING"
"tBodyAccMag.arCoeff..1" 0.142344044931169 1 "WALKING"
"tBodyAccMag.arCoeff..2" -0.141097388363636 1 "WALKING"
"tBodyAccMag.arCoeff..3" 0.0116217833288961 1 "WALKING"
"tBodyAccJerk.min...Z" 0.460665061298701 1 "WALKING"
"tBodyAccJerk.iqr...X" -0.145087392734351 1 "WALKING"
"tBodyGyro.max...X" -0.476202012077922 1 "WALKING"
"tBodyGyro.min...Z" 0.280997032922078 1 "WALKING"
"tBodyGyro.arCoeff...Z.3" -0.242482776434416 1 "WALKING"
"tBodyGyroJerk.mean...X" -0.0868888555662338 1 "WALKING"
"tBodyGyro.entropy...X" 0.214675501466883 1 "WALKING"
"tBodyGyro.arCoeff...X.3" 0.0919465008603896 1 "WALKING"
"fBodyAcc.bandsEnergy...49.56" -0.925867487881356 2 "WALKING"
"fBodyAcc.bandsEnergy...57.64" -0.956547473135593 2 "WALKING"
"fBodyAcc.bandsEnergy...1.16" -0.833004628813559 2 "WALKING"
"fBodyAcc.bandsEnergy...25.48" -0.777875046949153 2 "WALKING"
"fBodyAcc.bandsEnergy...1.8.1" -0.650596542288136 2 "WALKING"
"fBodyAcc.bandsEnergy...9.16.1" -0.76730844838983 2 "WALKING"
"fBodyGyro.bandsEnergy...57.64" -0.964655850338983 2 "WALKING"
"fBodyGyro.bandsEnergy...1.16" -0.899566191016949 2 "WALKING"
"fBodyGyro.bandsEnergy...17.32" -0.790730007457627 2 "WALKING"
"fBodyGyro.bandsEnergy...1.8.1" -0.930152974745763 2 "WALKING"
"fBodyGyro.bandsEnergy...9.16.1" -0.957070392711864 2 "WALKING"
"fBodyGyro.bandsEnergy...17.24.1" -0.971887367542373 2 "WALKING"
"fBodyAcc.min...Z" -0.886247787033898 2 "WALKING"
"fBodyAcc.sma.." -0.250273586660169 2 "WALKING"
"fBodyAcc.energy...X" -0.816034125423729 2 "WALKING"
"fBodyAcc.iqr...Z" -0.622761689661017 2 "WALKING"
"fBodyAcc.entropy...X" 0.532331926440678 2 "WALKING"
"fBodyAcc.entropy...Y" 0.509458332881356 2 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48.2" -0.952819976440678 2 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56.2" -0.937265493474576 2 "WALKING"
"fBodyAccJerk.bandsEnergy...57.64.2" -0.971617193220339 2 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.2" -0.878331623474576 2 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48.2" -0.968011240169491 2 "WALKING"
"fBodyGyro.mean...X" -0.405068870677966 2 "WALKING"
"fBodyAccJerk.bandsEnergy...33.40" -0.876413497966102 2 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48" -0.838541149745763 2 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56" -0.910344879661017 2 "WALKING"
"fBodyAccJerk.bandsEnergy...49.64" -0.906531282966102 2 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24" -0.734391532881356 2 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48" -0.733582468050847 2 "WALKING"
"fBodyAcc.kurtosis...Z" -0.729705564152542 2 "WALKING"
"fBodyAcc.bandsEnergy...17.24" -0.617554098559322 2 "WALKING"
"fBodyGyro.bandsEnergy...1.8" -0.912064430169492 2 "WALKING"
"fBodyGyro.bandsEnergy...25.32" -0.905835168813559 2 "WALKING"
"fBodyAcc.mad...Y" -0.115402866128814 2 "WALKING"
"fBodyAcc.max...Y" -0.299696922055085 2 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.1" -0.576189298983051 2 "WALKING"
"fBodyAccJerk.bandsEnergy...9.16.2" -0.877700256525424 2 "WALKING"
"fBodyAccJerk.kurtosis...Y" -0.71572485779661 2 "WALKING"
"fBodyAccJerk.bandsEnergy...1.8" -0.890275767542373 2 "WALKING"
"tBodyAccJerk.arCoeff...Y.1" -0.236205936678814 2 "WALKING"
"tBodyAccJerk.arCoeff...Y.2" 0.212167746344068 2 "WALKING"
"tBodyAccJerk.arCoeff...Y.3" 0.240113037947797 2 "WALKING"
"tBodyAccJerk.correlation...Y.Z" 0.270488861944915 2 "WALKING"
"tBodyGyro.mean...X" -0.0287715717234746 2 "WALKING"
"tBodyGyro.mean...Y" -0.0752585348177966 2 "WALKING"
"tGravityAcc.arCoeff...X.4" 0.504545681694915 2 "WALKING"
"tGravityAcc.arCoeff...Y.1" -0.127233310258475 2 "WALKING"
"tGravityAcc.arCoeff...Y.2" 0.150993407820339 2 "WALKING"
"tGravityAcc.correlation...X.Z" -0.0739194884915254 2 "WALKING"
"tGravityAcc.correlation...Y.Z" 0.0875521119737288 2 "WALKING"
"tBodyAccJerk.mean...X" 0.0798872933265254 2 "WALKING"
"tBodyGyroJerk.correlation...Y.Z" -0.0998807419662712 2 "WALKING"
"tBodyAccMag.mean.." -0.283856557457627 2 "WALKING"
"tBodyAccMag.std.." -0.42974258059322 2 "WALKING"
"tBodyAccMag.arCoeff..1" -0.0160729179127119 2 "WALKING"
"tBodyAccMag.arCoeff..2" 0.0224954790601695 2 "WALKING"
"tBodyAccMag.arCoeff..3" -0.0264507798915254 2 "WALKING"
"tBodyAccJerk.min...Z" 0.597548016016949 2 "WALKING"
"tBodyAccJerk.iqr...X" -0.347982562881356 2 "WALKING"
"tBodyGyro.max...X" -0.507067112457627 2 "WALKING"
"tBodyGyro.min...Z" 0.447663374067797 2 "WALKING"
"tBodyGyro.arCoeff...Z.3" -0.159651344977119 2 "WALKING"
"tBodyGyroJerk.mean...X" -0.105450870725424 2 "WALKING"
"tBodyGyro.entropy...X" 0.177419856182203 2 "WALKING"
"tBodyGyro.arCoeff...X.3" -0.0282808676991525 2 "WALKING"
"fBodyAcc.bandsEnergy...49.56" -0.914836845092593 3 "WALKING"
"fBodyAcc.bandsEnergy...57.64" -0.921152181240741 3 "WALKING"
"fBodyAcc.bandsEnergy...1.16" -0.71520911212963 3 "WALKING"
"fBodyAcc.bandsEnergy...25.48" -0.843297002962963 3 "WALKING"
"fBodyAcc.bandsEnergy...1.8.1" -0.701048117685185 3 "WALKING"
"fBodyAcc.bandsEnergy...9.16.1" -0.554239621824074 3 "WALKING"
"fBodyGyro.bandsEnergy...57.64" -0.964242051018519 3 "WALKING"
"fBodyGyro.bandsEnergy...1.16" -0.87756371287037 3 "WALKING"
"fBodyGyro.bandsEnergy...17.32" -0.767833057592593 3 "WALKING"
"fBodyGyro.bandsEnergy...1.8.1" -0.903600103333333 3 "WALKING"
"fBodyGyro.bandsEnergy...9.16.1" -0.918194805833333 3 "WALKING"
"fBodyGyro.bandsEnergy...17.24.1" -0.928626662592593 3 "WALKING"
"fBodyAcc.min...Z" -0.852733725648148 3 "WALKING"
"fBodyAcc.sma.." -0.159326081884259 3 "WALKING"
"fBodyAcc.energy...X" -0.72208978462963 3 "WALKING"
"fBodyAcc.iqr...Z" -0.50693145237037 3 "WALKING"
"fBodyAcc.entropy...X" 0.520056572222222 3 "WALKING"
"fBodyAcc.entropy...Y" 0.471803843981482 3 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48.2" -0.911177988518519 3 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56.2" -0.883510192037037 3 "WALKING"
"fBodyAccJerk.bandsEnergy...57.64.2" -0.968027556111111 3 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.2" -0.78799279037037 3 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48.2" -0.945507338888889 3 "WALKING"
"fBodyGyro.mean...X" -0.377968595092593 3 "WALKING"
"fBodyAccJerk.bandsEnergy...33.40" -0.900132709351852 3 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48" -0.85876495037037 3 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56" -0.925324511666667 3 "WALKING"
"fBodyAccJerk.bandsEnergy...49.64" -0.922350230648148 3 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24" -0.674719600833333 3 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48" -0.825467848611111 3 "WALKING"
"fBodyAcc.kurtosis...Z" -0.367764808136111 3 "WALKING"
"fBodyAcc.bandsEnergy...17.24" -0.758818360925926 3 "WALKING"
"fBodyGyro.bandsEnergy...1.8" -0.888039436111111 3 "WALKING"
"fBodyGyro.bandsEnergy...25.32" -0.916565766388889 3 "WALKING"
"fBodyAcc.mad...Y" -0.0731519647527778 3 "WALKING"
"fBodyAcc.max...Y" -0.362805096316667 3 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.1" -0.595983662685185 3 "WALKING"
"fBodyAccJerk.bandsEnergy...9.16.2" -0.778163868611111 3 "WALKING"
"fBodyAccJerk.kurtosis...Y" -0.555074881573611 3 "WALKING"
"fBodyAccJerk.bandsEnergy...1.8" -0.797956728703704 3 "WALKING"
"tBodyAccJerk.arCoeff...Y.1" -0.328093917249074 3 "WALKING"
"tBodyAccJerk.arCoeff...Y.2" 0.105852266957407 3 "WALKING"
"tBodyAccJerk.arCoeff...Y.3" 0.133505072230185 3 "WALKING"
"tBodyAccJerk.correlation...Y.Z" 0.127837928577778 3 "WALKING"
"tBodyGyro.mean...X" -0.0642724679087037 3 "WALKING"
"tBodyGyro.mean...Y" -0.0659062101222222 3 "WALKING"
"tGravityAcc.arCoeff...X.4" 0.620221087592593 3 "WALKING"
"tGravityAcc.arCoeff...Y.1" -0.113860291917593 3 "WALKING"
"tGravityAcc.arCoeff...Y.2" 0.1616586894 3 "WALKING"
"tGravityAcc.correlation...X.Z" 0.00541852330296296 3 "WALKING"
"tGravityAcc.correlation...Y.Z" -0.0475201928641667 3 "WALKING"
"tBodyAccJerk.mean...X" 0.0777744006898148 3 "WALKING"
"tBodyGyroJerk.correlation...Y.Z" 0.0172484267953704 3 "WALKING"
"tBodyAccMag.mean.." -0.129327188389315 3 "WALKING"
"tBodyAccMag.std.." -0.378262084351852 3 "WALKING"
"tBodyAccMag.arCoeff..1" -0.141086898617593 3 "WALKING"
"tBodyAccMag.arCoeff..2" 0.106099330838889 3 "WALKING"
"tBodyAccMag.arCoeff..3" -0.0157523318055556 3 "WALKING"
"tBodyAccJerk.min...Z" 0.493190311759259 3 "WALKING"
"tBodyAccJerk.iqr...X" -0.125271919961689 3 "WALKING"
"tBodyGyro.max...X" -0.497860548796296 3 "WALKING"
"tBodyGyro.min...Z" 0.245938122861111 3 "WALKING"
"tBodyGyro.arCoeff...Z.3" -0.217530832999815 3 "WALKING"
"tBodyGyroJerk.mean...X" -0.0850272970435185 3 "WALKING"
"tBodyGyro.entropy...X" 0.166369751166667 3 "WALKING"
"tBodyGyro.arCoeff...X.3" 0.000395910687962964 3 "WALKING"
"fBodyAcc.bandsEnergy...49.56" -0.874104401454545 4 "WALKING"
"fBodyAcc.bandsEnergy...57.64" -0.912045683181818 4 "WALKING"
"fBodyAcc.bandsEnergy...1.16" -0.718923018727273 4 "WALKING"
"fBodyAcc.bandsEnergy...25.48" -0.640226893636364 4 "WALKING"
"fBodyAcc.bandsEnergy...1.8.1" -0.579696258363636 4 "WALKING"
"fBodyAcc.bandsEnergy...9.16.1" -0.617383755090909 4 "WALKING"
"fBodyGyro.bandsEnergy...57.64" -0.947882322090909 4 "WALKING"
"fBodyGyro.bandsEnergy...1.16" -0.852987736818182 4 "WALKING"
"fBodyGyro.bandsEnergy...17.32" -0.703757820727273 4 "WALKING"
"fBodyGyro.bandsEnergy...1.8.1" -0.726911911 4 "WALKING"
"fBodyGyro.bandsEnergy...9.16.1" -0.914252916090909 4 "WALKING"
"fBodyGyro.bandsEnergy...17.24.1" -0.908239945818182 4 "WALKING"
"fBodyAcc.min...Z" -0.838268527 4 "WALKING"
"fBodyAcc.sma.." -0.0494085603272727 4 "WALKING"
"fBodyAcc.energy...X" -0.703658248818182 4 "WALKING"
"fBodyAcc.iqr...Z" -0.546280347363636 4 "WALKING"
"fBodyAcc.entropy...X" 0.650729807545455 4 "WALKING"
"fBodyAcc.entropy...Y" 0.606623454727273 4 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48.2" -0.894033316181818 4 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56.2" -0.869753346272727 4 "WALKING"
"fBodyAccJerk.bandsEnergy...57.64.2" -0.925484709363636 4 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.2" -0.857397985454545 4 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48.2" -0.904445936090909 4 "WALKING"
"fBodyGyro.mean...X" -0.258086553458182 4 "WALKING"
"fBodyAccJerk.bandsEnergy...33.40" -0.778581118390909 4 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48" -0.748232372181818 4 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56" -0.858841188636364 4 "WALKING"
"fBodyAccJerk.bandsEnergy...49.64" -0.853064275727273 4 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24" -0.577970980636364 4 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48" -0.566807543281818 4 "WALKING"
"fBodyAcc.kurtosis...Z" -0.638726319081818 4 "WALKING"
"fBodyAcc.bandsEnergy...17.24" -0.543663413189091 4 "WALKING"
"fBodyGyro.bandsEnergy...1.8" -0.889601041181818 4 "WALKING"
"fBodyGyro.bandsEnergy...25.32" -0.821484210363636 4 "WALKING"
"fBodyAcc.mad...Y" 0.0834739206727273 4 "WALKING"
"fBodyAcc.max...Y" -0.337419732936364 4 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.1" -0.413976440572727 4 "WALKING"
"fBodyAccJerk.bandsEnergy...9.16.2" -0.892343713090909 4 "WALKING"
"fBodyAccJerk.kurtosis...Y" -0.779120396727273 4 "WALKING"
"fBodyAccJerk.bandsEnergy...1.8" -0.794954495454545 4 "WALKING"
"tBodyAccJerk.arCoeff...Y.1" -0.199833040894545 4 "WALKING"
"tBodyAccJerk.arCoeff...Y.2" 0.189635354933636 4 "WALKING"
"tBodyAccJerk.arCoeff...Y.3" 0.301195281544545 4 "WALKING"
"tBodyAccJerk.correlation...Y.Z" 0.119885362872727 4 "WALKING"
"tBodyGyro.mean...X" -0.00806822626236364 4 "WALKING"
"tBodyGyro.mean...Y" -0.0780636564557545 4 "WALKING"
"tGravityAcc.arCoeff...X.4" 0.569513049818182 4 "WALKING"
"tGravityAcc.arCoeff...Y.1" -0.0269539177018182 4 "WALKING"
"tGravityAcc.arCoeff...Y.2" 0.0563442278890909 4 "WALKING"
"tGravityAcc.correlation...X.Z" -0.123399789680909 4 "WALKING"
"tGravityAcc.correlation...Y.Z" -0.00303763597272728 4 "WALKING"
"tBodyAccJerk.mean...X" 0.0775885607963636 4 "WALKING"
"tBodyGyroJerk.correlation...Y.Z" -0.192526273365455 4 "WALKING"
"tBodyAccMag.mean.." -0.147837900151818 4 "WALKING"
"tBodyAccMag.std.." -0.227643404832727 4 "WALKING"
"tBodyAccMag.arCoeff..1" 0.0104552740102364 4 "WALKING"
"tBodyAccMag.arCoeff..2" -0.0285218949356364 4 "WALKING"
"tBodyAccMag.arCoeff..3" 0.0510199753390909 4 "WALKING"
"tBodyAccJerk.min...Z" 0.408933936049091 4 "WALKING"
"tBodyAccJerk.iqr...X" -0.0758892330572727 4 "WALKING"
"tBodyGyro.max...X" -0.390076744854545 4 "WALKING"
"tBodyGyro.min...Z" 0.2414619151 4 "WALKING"
"tBodyGyro.arCoeff...Z.3" -0.148151739956364 4 "WALKING"
"tBodyGyroJerk.mean...X" -0.104666237064545 4 "WALKING"
"tBodyGyro.entropy...X" 0.184365141220909 4 "WALKING"
"tBodyGyro.arCoeff...X.3" 0.113008514699091 4 "WALKING"
"fBodyAcc.bandsEnergy...49.56" -0.866179634981308 5 "WALKING"
"fBodyAcc.bandsEnergy...57.64" -0.893254741286916 5 "WALKING"
"fBodyAcc.bandsEnergy...1.16" -0.705744824859813 5 "WALKING"
"fBodyAcc.bandsEnergy...25.48" -0.743338377009346 5 "WALKING"
"fBodyAcc.bandsEnergy...1.8.1" -0.748588049345794 5 "WALKING"
"fBodyAcc.bandsEnergy...9.16.1" -0.661570400280374 5 "WALKING"
"fBodyGyro.bandsEnergy...57.64" -0.973767323271028 5 "WALKING"
"fBodyGyro.bandsEnergy...1.16" -0.899616958037383 5 "WALKING"
"fBodyGyro.bandsEnergy...17.32" -0.726558468504673 5 "WALKING"
"fBodyGyro.bandsEnergy...1.8.1" -0.848899355794392 5 "WALKING"
"fBodyGyro.bandsEnergy...9.16.1" -0.905201905794393 5 "WALKING"
"fBodyGyro.bandsEnergy...17.24.1" -0.84213712271028 5 "WALKING"
"fBodyAcc.min...Z" -0.814903054859813 5 "WALKING"
"fBodyAcc.sma.." -0.0340042847738318 5 "WALKING"
"fBodyAcc.energy...X" -0.696006279719626 5 "WALKING"
"fBodyAcc.iqr...Z" -0.355398599339252 5 "WALKING"
"fBodyAcc.entropy...X" 0.576150105700935 5 "WALKING"
"fBodyAcc.entropy...Y" 0.555266485514019 5 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48.2" -0.786939760747664 5 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56.2" -0.720272244018692 5 "WALKING"
"fBodyAccJerk.bandsEnergy...57.64.2" -0.863867021439252 5 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.2" -0.59964159411215 5 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48.2" -0.871092272429907 5 "WALKING"
"fBodyGyro.mean...X" -0.357451565943925 5 "WALKING"
"fBodyAccJerk.bandsEnergy...33.40" -0.857524080934579 5 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48" -0.787642245327103 5 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56" -0.866960183925234 5 "WALKING"
"fBodyAccJerk.bandsEnergy...49.64" -0.863128513084112 5 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24" -0.625330489205608 5 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48" -0.710418313271028 5 "WALKING"
"fBodyAcc.kurtosis...Z" -0.62833554961215 5 "WALKING"
"fBodyAcc.bandsEnergy...17.24" -0.555295261336449 5 "WALKING"
"fBodyGyro.bandsEnergy...1.8" -0.934148610934579 5 "WALKING"
"fBodyGyro.bandsEnergy...25.32" -0.802789764299065 5 "WALKING"
"fBodyAcc.mad...Y" -0.0843824364045794 5 "WALKING"
"fBodyAcc.max...Y" -0.466713525897196 5 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.1" -0.519322428383178 5 "WALKING"
"fBodyAccJerk.bandsEnergy...9.16.2" -0.626506462308411 5 "WALKING"
"fBodyAccJerk.kurtosis...Y" -0.776681606074766 5 "WALKING"
"fBodyAccJerk.bandsEnergy...1.8" -0.809128693084112 5 "WALKING"
"tBodyAccJerk.arCoeff...Y.1" -0.132889321536449 5 "WALKING"
"tBodyAccJerk.arCoeff...Y.2" 0.157660889378505 5 "WALKING"
"tBodyAccJerk.arCoeff...Y.3" 0.28405465547757 5 "WALKING"
"tBodyAccJerk.correlation...Y.Z" 0.254985023754206 5 "WALKING"
"tBodyGyro.mean...X" -0.0476191352797196 5 "WALKING"
"tBodyGyro.mean...Y" -0.060682276846729 5 "WALKING"
"tGravityAcc.arCoeff...X.4" 0.608783870093458 5 "WALKING"
"tGravityAcc.arCoeff...Y.1" 0.0524015696046729 5 "WALKING"
"tGravityAcc.arCoeff...Y.2" -0.0341604796482243 5 "WALKING"
"tGravityAcc.correlation...X.Z" 0.102337008242991 5 "WALKING"
"tGravityAcc.correlation...Y.Z" 0.318825721728972 5 "WALKING"
"tBodyAccJerk.mean...X" 0.0694070763971963 5 "WALKING"
"tBodyGyroJerk.correlation...Y.Z" -0.168346956529907 5 "WALKING"
"tBodyAccMag.mean.." -0.0998630189457944 5 "WALKING"
"tBodyAccMag.std.." -0.216507119803738 5 "WALKING"
"tBodyAccMag.arCoeff..1" -0.0135354816205607 5 "WALKING"
"tBodyAccMag.arCoeff..2" 0.00271181777663551 5 "WALKING"
"tBodyAccMag.arCoeff..3" -0.00601673418261682 5 "WALKING"
"tBodyAccJerk.min...Z" 0.268264029083178 5 "WALKING"
"tBodyAccJerk.iqr...X" -0.215769795088785 5 "WALKING"
"tBodyGyro.max...X" -0.41781387435514 5 "WALKING"
"tBodyGyro.min...Z" 0.337458619588785 5 "WALKING"
"tBodyGyro.arCoeff...Z.3" -0.317873005942991 5 "WALKING"
"tBodyGyroJerk.mean...X" -0.0949554763815514 5 "WALKING"
"tBodyGyro.entropy...X" 0.117976865794393 5 "WALKING"
"tBodyGyro.arCoeff...X.3" -0.0488073442878505 5 "WALKING"
"fBodyAcc.bandsEnergy...49.56" -0.913710760666667 6 "WALKING"
"fBodyAcc.bandsEnergy...57.64" -0.953000347142857 6 "WALKING"
"fBodyAcc.bandsEnergy...1.16" -0.724166647619048 6 "WALKING"
"fBodyAcc.bandsEnergy...25.48" -0.805202599047619 6 "WALKING"
"fBodyAcc.bandsEnergy...1.8.1" -0.500935113 6 "WALKING"
"fBodyAcc.bandsEnergy...9.16.1" -0.20848429520381 6 "WALKING"
"fBodyGyro.bandsEnergy...57.64" -0.899268790857143 6 "WALKING"
"fBodyGyro.bandsEnergy...1.16" -0.744145000171429 6 "WALKING"
"fBodyGyro.bandsEnergy...17.32" -0.749309691809524 6 "WALKING"
"fBodyGyro.bandsEnergy...1.8.1" -0.753414713619048 6 "WALKING"
"fBodyGyro.bandsEnergy...9.16.1" -0.879779191142857 6 "WALKING"
"fBodyGyro.bandsEnergy...17.24.1" -0.859286387428571 6 "WALKING"
"fBodyAcc.min...Z" -0.817082008542857 6 "WALKING"
"fBodyAcc.sma.." -0.0198276091166667 6 "WALKING"
"fBodyAcc.energy...X" -0.723212967428571 6 "WALKING"
"fBodyAcc.iqr...Z" -0.377774812444762 6 "WALKING"
"fBodyAcc.entropy...X" 0.55733602 6 "WALKING"
"fBodyAcc.entropy...Y" 0.606502816095238 6 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48.2" -0.848231106666667 6 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56.2" -0.785633475809524 6 "WALKING"
"fBodyAccJerk.bandsEnergy...57.64.2" -0.910758170095238 6 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.2" -0.672050481714286 6 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48.2" -0.894103378095238 6 "WALKING"
"fBodyGyro.mean...X" -0.151350910509524 6 "WALKING"
"fBodyAccJerk.bandsEnergy...33.40" -0.86652884447619 6 "WALKING"
"fBodyAccJerk.bandsEnergy...41.48" -0.828990591238095 6 "WALKING"
"fBodyAccJerk.bandsEnergy...49.56" -0.895273376666667 6 "WALKING"
"fBodyAccJerk.bandsEnergy...49.64" -0.892065819142857 6 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24" -0.683790904666667 6 "WALKING"
"fBodyAccJerk.bandsEnergy...25.48" -0.757024022666667 6 "WALKING"
"fBodyAcc.kurtosis...Z" -0.612853770438095 6 "WALKING"
"fBodyAcc.bandsEnergy...17.24" -0.675733724361905 6 "WALKING"
"fBodyGyro.bandsEnergy...1.8" -0.803516076752381 6 "WALKING"
"fBodyGyro.bandsEnergy...25.32" -0.92620139952381 6 "WALKING"
"fBodyAcc.mad...Y" 0.256094324661905 6 "WALKING"
"fBodyAcc.max...Y" -0.191086784904952 6 "WALKING"
"fBodyAccJerk.bandsEnergy...1.24.1" -0.221593573910952 6 "WALKING"
"fBodyAccJerk.bandsEnergy...9.16.2" -0.720396844095238 6 "WALKING"
"fBodyAccJerk.kurtosis...Y" -0.546198517304762 6 "WALKING"
